,종목,현재가,고가,저가,변동,변동%,거래량,시간,
,카카오페이,"54,200","55,000","53,000",500,0.93%,501.72K,11월 29일,
,아모레퍼시픽,"130,000","132,000","123,500",5500,4.42%,500.09K,11월 29일,
,SJM홀딩스,"4,300","4,380","4,005",205,5.01%,499.51K,15:50:32,
,대유에이텍,720,720,708,12,1.69%,495.37K,11월 29일,
,미래에셋증권,"6,630","6,640","6,430",160,2.47%,488.98K,11월 29일,
,태양금속,"1,480","1,515","1,435",40,2.78%,478.54K,11월 29일,
,NAVER,"182,500","183,500","178,500",2000,1.11%,476.46K,11월 29일,
,SKIET,"66,200","67,500","65,600",200,0.30%,453.54K,11월 29일,
,대한해운,"2,140","2,170","2,100",25,1.18%,451.92K,11월 29일,
,한온시스템,"8,710","8,740","8,450",130,1.52%,450.99K,11월 29일,
,한솔홈데코,"1,185","1,185","1,160",10,0.85%,447.54K,11월 29일,
,써니전자,"2,465","2,520","2,395",70,2.92%,442.01K,11월 29일,
,티웨이항공,"1,845","1,905","1,790",40,2.22%,431.85K,11월 29일,
,동부건설,"7,230","7,620","7,080",130,1.83%,431.15K,11월 29일,
,LG유플러스,"11,950","12,050","11,900",0,0.00%,429.53K,11월 29일,
,동원금속,"1,065","1,090","1,055",-25,-2.29%,424.85K,15:56:54,
,유니온머티리얼,"2,895","2,920","2,830",-30,-1.03%,416.98K,11월 29일,
,영풍제지,"14,450","14,850","13,750",-400,-2.69%,416.64K,11월 29일,
,한솔로지스틱스,"3,035","3,100","2,985",20,0.66%,415.62K,11월 29일,
,코스모화학,"23,350","23,550","22,800",300,1.30%,413.09K,11월 29일,
,퍼스텍,"2,910","2,960","2,900",-15,-0.51%,406.32K,11월 29일,
,맥쿼리인프라,"11,250","11,250","11,050",100,0.90%,405.94K,11월 29일,
,KT,"37,150","37,350","37,000",0,0.00%,403.87K,11월 29일,
,영진약품,"2,690","2,765","2,635",45,1.70%,402.03K,11월 29일,
,S-oil,"86,800","87,500","83,500",2500,2.97%,397.73K,11월 29일,
,무림페이퍼,"2,730","2,760","2,635",45,1.68%,395.67K,11월 29일,
,한창제지,"1,550","1,570","1,530",0,0.00%,369.26K,11월 29일,
,신원,"1,630","1,630","1,580",30,1.88%,361.88K,11월 29일,
,한신기계,"7,050","7,120","6,970",-30,-0.42%,359.60K,11월 29일,
,호텔신라,"72,400","73,000","70,000",2000,2.84%,359.31K,11월 29일,
,GS 글로벌,"2,690","2,700","2,625",20,0.75%,357.99K,11월 29일,
,DB하이텍,"44,950","45,300","44,700",-750,-1.64%,357.42K,11월 29일,
,일성건설,"2,600","2,630","2,565",-5,-0.19%,357.16K,11월 29일,
,이구산업,"3,110","3,140","3,025",75,2.47%,354.06K,11월 29일,
,한창,851,854,838,1,0.12%,353.58K,11월 29일,
,성신양회,"10,650","10,800","10,300",-100,-0.93%,353.42K,11월 29일,
,대양금속,"3,415","3,455","3,235",130,3.96%,352.41K,11월 29일,
,혜인,"7,160","7,210","6,890",160,2.29%,348.91K,11월 29일,
,미래아이앤지,302,303,299,0,0.00%,348.48K,11월 29일,
,드림텍,"9,640","9,660","9,400",100,1.05%,345.86K,11월 29일,
,금강공업,"7,490","7,590","7,490",0,0.00%,343.29K,11월 29일,
,흥아해운,"1,640","1,640","1,540",60,3.80%,343.02K,11월 29일,
,KT&G,"96,700","97,100","95,700",1000,1.04%,341.06K,11월 29일,
,휴스틸,"5,500","5,500","5,360",40,0.73%,339.86K,11월 29일,
,현대차,"169,000","169,500","167,000",1500,0.90%,338.86K,11월 29일,
