,종목,현재가,고가,저가,변동,변동%,거래량,시간,
,퍼스트에너지,39.56,39.65,39.19,-0.07,-0.16%,462.79K,0:54:10,
,콘아그라 브랜즈,36.94,37.1,36.83,-0.1,-0.27%,462.53K,0:54:09,
,인터내셔널 페이퍼,36.31,36.38,35.63,0.53,1.48%,458.31K,0:54:11,
,인베스코,18.91,18.98,18.65,0.21,1.15%,457.48K,0:54:07,
,제너럴 밀스,82.56,83.4,82.56,-0.37,-0.45%,459.15K,0:54:15,
,코닝,33.24,33.31,33.16,0.13,0.40%,454.08K,0:54:03,
,텍사스인스트루먼트,173.28,174.29,172.59,0.28,0.16%,451.72K,0:54:05,
,리온델바셀 인더스트리즈,85.19,85.43,84.29,1.44,1.72%,451.61K,0:54:10,
,사이먼 프로퍼티,117.34,117.46,115.53,1.58,1.36%,449.10K,0:54:13,
,로얄 캐리비안,58.62,58.92,58.39,0.52,0.90%,448.50K,0:54:04,
,카맥스,68.31,68.79,65.98,2.75,4.19%,448.72K,0:53:47,
,센터포인트 에너지,30.52,30.68,30.47,-0.34,-1.09%,447.23K,0:54:10,
,코스트코 홀세일,531.75,533.64,528.62,0.82,0.16%,441.96K,0:53:47,
,듀크 에너지,97.93,98.23,97.26,-0.68,-0.69%,442.23K,0:54:02,
,얼라이언트 에너지,55.12,55.55,54.8,-0.66,-1.18%,435.19K,0:54:00,
,IFF,102.44,102.85,100.97,2.46,2.46%,432.97K,0:52:48,
,아메리칸 일렉트릭 파워,94.68,94.88,94.01,-0.54,-0.56%,434.72K,0:54:10,
,맥도날드,270.15,271.73,270.12,-2.73,-1.00%,432.62K,0:54:10,
,골드만삭스,383.88,384.87,379.26,1.52,0.40%,432.54K,0:54:09,
,아메리칸 익스프레스,153.12,153.27,150.53,2.25,1.49%,432.74K,0:54:11,
,린드,333.48,335.5,332.36,-4.22,-1.25%,425.91K,0:53:37,
,아플락,71.21,71.28,70.66,0.22,0.31%,423.15K,0:53:28,
,ADM,97.1,97.81,96.57,0.85,0.88%,427.21K,0:54:10,
,잉가솔랜드,53.04,53.76,53.04,-0.12,-0.23%,419.78K,0:54:10,
,아나로그디바이스,164.46,165,163.03,0.45,0.27%,415.84K,0:54:05,
,마이크로칩 테크,74.42,74.94,74.21,0.07,0.10%,416.34K,0:54:11,
,헤스,141.75,142.99,140.91,2.23,1.60%,409.79K,0:54:14,
,듀폰,69.73,69.86,69.03,0.71,1.04%,411.05K,0:54:13,
,DR호튼,84.04,84.12,82.72,0.73,0.88%,405.74K,0:53:38,
,프로그레시브,130.48,130.49,127.6,0.46,0.35%,402.15K,0:54:01,
,매치 그룹,47.94,48.28,46.96,0.47,1.00%,401.76K,0:53:50,
,하니웰,216.98,217.42,215.32,1.21,0.56%,401.30K,0:54:01,
,오티스 월드와이드,77.36,77.62,76.14,1.01,1.33%,396.72K,0:54:16,
,캐피탈 원,101.38,101.66,99.28,1.79,1.80%,390.66K,0:54:15,
,원오크,64.77,65.12,64.15,1.05,1.65%,387.71K,0:54:09,
,달러 제너럴,252.64,254.22,248.5,-0.46,-0.18%,385.93K,0:54:09,
,엑셀 에너지,68.89,69.23,68.25,-0.5,-0.72%,376.48K,0:54:00,
,익스피다이터스,112.72,114.03,112.38,1.09,0.98%,371.98K,0:53:48,
,알버말,272.54,273.67,266.39,6.43,2.42%,370.69K,0:53:57,
,익스피디아,102.14,102.56,99.77,2.49,2.50%,364.97K,0:53:53,
,호멜,48.23,49.03,48.22,-0.88,-1.79%,368.80K,0:54:05,
,폭스 코퍼레이션,31.39,31.45,31.03,0.4,1.27%,366.75K,0:54:07,
,3M,126.06,126.12,124.01,1.42,1.14%,363.31K,0:53:23,
,필립 모리스,97.47,97.9,97.37,-0.16,-0.16%,371.98K,0:54:08,
,21세기 폭스,18.78,18.81,18.43,0.32,1.73%,353.14K,0:53:13,
,조에티스,147.59,149.35,147.4,-0.54,-0.36%,353.78K,0:54:04,
,웨스턴 디지털,36.45,36.54,36.09,0.34,0.94%,353.25K,0:54:09,
,코그니전트 테크놀로지 솔루션 A,60.24,60.52,59.92,0.14,0.23%,356.69K,0:54:04,
,하트포드,75.54,75.81,74.89,0.48,0.64%,352.26K,0:54:06,
,에디슨 인터내셔널,63.58,63.6,62.58,0.19,0.30%,350.62K,0:54:09,
,프랭클린 리소시스,26.38,26.42,25.96,0.35,1.36%,346.22K,0:53:49,
