,종목,현재가,고가,저가,변동,변동%,거래량,시간,
,웨스턴 디지털,36.26,36.54,36.09,0.15,0.42%,386.30K,1:04:16,
,BGC Partners,3.99,4,3.875,0.08,2.05%,389.34K,1:04:22,
,21세기 폭스,18.72,18.8,18.43,0.26,1.41%,370.93K,1:04:17,
,아제너스,2.655,2.71,2.65,-0.025,-0.93%,377.98K,1:04:19,
,리버티 글로벌 C,20.39,20.48,20.08,0.23,1.17%,362.78K,1:04:18,
,넷앱,72.64,73.33,72.6,0.07,0.10%,355.97K,1:04:10,
,암젠,281.28,283.38,280.76,-1.34,-0.47%,363.12K,1:04:17,
,몬스터 베버리지,100.66,101.69,100.62,-1.22,-1.19%,362.04K,1:04:12,
,코스타 그룹,78.09,78.58,77.97,-0.65,-0.82%,344.16K,1:04:14,
,인튜이트,381.19,385.27,381.15,-4.45,-1.15%,329.32K,1:03:46,
,디시 네트워크,15.68,15.82,15.45,0.1,0.64%,336.27K,1:04:18,
,Mitek Systems,9.82,10.1,9.46,-0.57,-5.53%,317.56K,1:04:16,
,버텍스 파마슈티컬,314.99,316.28,312.47,-0.31,-0.10%,316.29K,1:04:03,
,리마크,0.234,0.2426,0.229,-0.0075,-3.11%,323.13K,1:02:27,
,티 로우 프라이스,121.72,122.45,120.34,0.59,0.49%,315.18K,1:04:17,
,어반 아웃피터스,28.63,28.79,28.2,0.18,0.63%,323.44K,1:04:13,
,Altra Holdings,58.25,58.36,58.15,0.09,0.15%,303.06K,1:04:16,
,메리어트인터내셔널,160.85,161.41,159,1.96,1.23%,304.36K,1:04:15,
,Cytokinetics Inc,40.38,40.98,40.21,0.28,0.71%,290.86K,1:04:12,
,패터슨-UTI,17.43,17.68,17.37,0.33,1.93%,297.52K,1:04:03,
,덴츠플라이,30.6,30.79,30.16,0.14,0.46%,291.91K,1:04:06,
,마이크로비전,2.88,2.92,2.83,0.04,1.59%,295.59K,1:04:13,
,파카,104.17,104.79,103.57,0.56,0.54%,286.17K,1:04:16,
,사렙타 테라퓨틱스,118.25,120.39,117.66,0.12,0.10%,286.13K,1:04:15,
,오토데스크,192.38,196.53,192.38,-2.97,-1.52%,288.28K,1:04:16,
,Allscripts Healthcare Solutions,18.47,18.52,18.01,0.31,1.71%,276.69K,1:04:10,
,NXP세미컨덕터즈,164.58,166.26,163.19,0.48,0.29%,280.40K,1:04:17,
,Steel Dynamics,104.11,105.2,103.36,1.23,1.20%,277.35K,1:04:19,
,패터슨 덴탈,28.07,28.44,28.04,-0.29,-1.02%,267.10K,1:04:21,
,Flex,20.64,20.72,20.55,0.09,0.41%,285.81K,1:04:17,
,테이크투인터랙티브 소프트웨어,101.02,101.97,100.1,-0.24,-0.24%,273.63K,1:04:17,
,IAC Interactivecorp,48.6,49.14,47.72,0.57,1.19%,266.80K,1:04:17,
,자이언스 뱅코프,50.68,50.95,50.13,0.45,0.90%,267.04K,1:04:17,
,해즈브로,62.29,63.11,61.81,0.52,0.84%,266.59K,1:04:17,
,Sangamo Therapeutics,3.55,3.63,3.48,0.08,2.31%,267.78K,1:04:18,
,Destination XL Group,6.93,6.935,6.61,-0.01,-0.14%,257.42K,1:04:17,
,일렉트로닉 아츠,127.52,128.72,127.46,-0.64,-0.50%,265.64K,1:04:17,
,케네디언솔라,35.31,35.52,34.19,1.31,3.85%,262.96K,1:04:18,
,Cognex Corp,48.59,48.81,48.05,0.04,0.09%,266.76K,1:04:18,
,애스트로테크,0.3135,0.3199,0.311,-0.0096,-2.97%,251.15K,1:02:04,
,Cheesecake Fac.,34.8,36.31,34.68,-1.58,-4.34%,254.94K,1:04:16,
,CME그룹,173.84,174.1,172.77,0.71,0.41%,252.49K,1:04:16,
,Principal Financial,90.05,90.39,89.23,0.51,0.57%,254.80K,1:04:17,
,바이오젠,293.25,293.83,288.44,1.35,0.46%,259.97K,1:03:43,
,렉시콘 파마슈티컬스,2.055,2.11,2,0.035,1.73%,241.90K,1:03:52,
,Viavi Solutions,10.89,11.05,10.86,-0.12,-1.09%,265.78K,1:04:21,
,나스닥,66.27,66.72,65.93,0,-0.01%,243.63K,1:04:16,
,Ionis Pharma,39.96,40.37,39.57,-0.37,-0.92%,240.59K,1:04:16,
,Halozyme Therap,56.25,56.6,55.66,-0.22,-0.39%,245.56K,1:04:16,
,Bimi International Medical,0.2155,0.2366,0.2155,-0.0096,-4.26%,232.42K,0:51:25,
,브로드컴,521.02,525.85,521.02,-1.19,-0.23%,239.12K,1:04:20,
,바이오마린,97.92,99.56,97.82,-0.74,-0.75%,232.96K,1:04:21,
,Himax Tech,7.32,7.36,7.17,0.18,2.52%,241.40K,1:04:17,
,Green Giant,3.05,3.5,3.01,-0.23,-7.01%,229.91K,1:02:16,
,Plus Therapeutics,0.404,0.411,0.4,-0.001,-0.17%,222.81K,0:47:47,
,Hain Celestial,18.4,18.68,18.28,0.05,0.27%,229.11K,1:04:16,
,Durect Corp,0.4344,0.459,0.4301,-0.0256,-5.57%,223.35K,1:02:48,
,Entegris Inc,72.2,72.98,72.01,-0.05,-0.07%,229.67K,1:04:18,
,Inotiv,6.37,6.65,6.34,-0.19,-2.90%,236.22K,1:04:07,
,아비오메드,377.5,377.83,377.37,0.27,0.07%,225.46K,1:04:17,
,제록스,15.52,15.6,15.45,0.07,0.42%,223.03K,1:03:52,
,Harmonic Inc,14.66,15.09,14.48,-0.32,-2.14%,221.71K,1:04:15,
,Athersys,0.6026,0.6077,0.5801,0.0086,1.45%,219.67K,1:02:48,
,인튜이티브 서지컬,260.93,262.99,260.93,-1.71,-0.65%,221.97K,1:04:10,
,Cerus Corp,3.64,3.74,3.64,-0.06,-1.62%,229.04K,1:04:15,
,넥타테라퓨틱스,3.06,3.14,3.06,-0.04,-1.45%,225.04K,1:04:15,
,Aehr Test Systems,26.32,26.648,25.26,0.45,1.74%,225.14K,1:04:17,
,이그젝트 사이,41.5,42.16,41.16,0,0.00%,214.55K,1:04:16,
,ACI Worldwide,20.29,20.73,20.17,-0.14,-0.69%,216.29K,1:04:22,
,PacWest Bancorp,25.21,25.34,24.66,0.24,0.96%,217.41K,1:04:21,
,Edgio,1.435,1.44,1.39,0.015,1.06%,214.70K,1:04:16,
,헨리 샤인,80.97,81.12,80,0.69,0.85%,209.34K,1:04:14,
,Amkor Tech,27.58,27.7,26.78,0.76,2.83%,226.84K,1:04:21,
,Interactive Broke,79.5,79.83,78.65,0.99,1.26%,211.78K,1:04:21,
,8x8 Inc,4.12,4.18,4.05,0.04,0.98%,206.61K,1:04:03,
,시애틀 제네틱스,118.96,121.28,118.9,-2.26,-1.86%,204.31K,1:03:38,
,케이든스디자인시스템,163.39,165.36,163.39,-1.56,-0.95%,210.52K,1:04:12,
,Super Micro,93.36,94.89,92.03,0.86,0.93%,203.97K,1:03:32,
,마이크로스트래티지,178.42,182.51,178,1.75,0.99%,199.53K,1:04:12,
